Name,Location,Habitat,Colors,Size(m),Lifestyle,Mobility
leopard cat, , Tropical forests, Grey-Black-White-Yellow, 46cm-65cm, , 
leopard seal, , Cold waters of the southern hemisphere, Grey-Black, 2.4-3.2m, Herd, 
leopard tortoise, , Grassland-savannah, Black-Brown-beige-Yellow-Grey, 40cm-70cm, , 
Liger, , Do not occur in the natural world, beige-Black-Brown-Orange, 2.8m-3.6m, daytime-Nocturnal, 
Lion, , open woodland  scrub  grassland, Tawny-Yellow-Blonde-Brown, 1.4m-2.5m, daytime-Nocturnal, 
Lionfish, Pacific Ocean, Tropical reefs-rocky crevices, Red-White-Black-Brown-Orange, 30cm-35cm, , 
little penguin, , Rocky Antarctic Islands, Black-White-Grey-Blue-, 35cm-50cm, Colony, 
lizard, , Warm forests-deserts worldwide, beige-Brown-Yellow-Green-Black, 1-250cm, , 
llama, , Mountainous deserts-grassland, beige-Brown-White-Black, 1.7-1.8m, Herd, 
lobster, , Sea gardens-rocky beds, Red-Brown-Blue-Orange, 25-70cm, , 
long eared owl, , Coniferous forests, Brown-Yellow-Black-beige, 31cm-37cm, , 
lynx, , Secluded forests-mountainous regions, beige-Yellow-Brown-Black, 0-8-1.3m, , 
macaroni penguin, , Sea-ice-islands in Sub-Antarctica, Black-White-Brown-Yellow, 60-70cm, Colony, 
macaw, , Rainforests-tropical jungle, Red-Blue-Yellow-Green-White, 76cm-100cm, Flock, 
magellanic penguin, , Antarctic islands, Grey-Black-White-Brown, 61cm-76cm, Flock, 
magpie, , Open woodland  grassland-savannas, Black-White, 40cm-46cm, , tail
Maine Coon, North America, , Blue-Lilac-Fawn-Cream-Brown-Black-Golden-Ginger, , , 
malayan civet, , Tropical rainforest, Black-White-Grey-Yellow-Brown-beige, 43cm-71cm, , 
malayan tiger, , Dense tropical forest, Orange-Black-White, 2m-2.4m, , 
Maltese, Italy, , , 25cm, , 
manatee, , Warm coastal waters-slow-moving rivers, Grey-Brown, 2.8-3.6m, , 
mandrill, , Dense-coastal tropical forests, Black-Brown-Grey-White-beige, 56-81cm, Troop, 
Manta Ray, Worldwide, Warmer tropical waters, Grey-Blue-Black-White, 6m-9m, , 
marine toad, , Forests-fields close to water, Black-Green-Grey-Brown-beige, 10cm-15cm, , 
markhor, , Sparsely wooded cliff-sides, Grey-Black-White-Brown-beige, 132cm-186cm, Herd, 
marsh frog, , Ponds  lakes-rivers, Brown-Black-Green-Yellow-White, 12cm-17cm, , leg
masked palm civet, , Tropical rainforest, Black-White-Grey-Yellow-Brown-beige, 43cm-71cm, , 
Mastiff, Great Britain, , , 76cm, , 
Mayfly, , Forest-woodland close to water, Green-Brown-beige-Grey-Black-Yellow, 1-1.5cm, , 
Meerkat, , Semi-desert-scrub-land, Light Brown-beige-Yellow-White-Brown-Black, 25cm-35cm, daytime, 
Millipede, , Moist micro-habitats, Red-Black-Yellow-Orange-Brown, 1.5-38cm, , 
minke whale, , Ocean surface in temperate waters, Black-Brown-Grey-White, 6.9-10.7m, Herd, 
mole, , Woodland  grassland-farmland, Brown-Grey-Black-White, 12-15cm, , 
Molly, Central America, Rivers in the Amazon Rainforest, Brown-Black-Yellow-White-Green-Blue-Red-Orange, 5cm-10cm, , fins
mongoose, , Open forests-grass plains, beige-Brown-Grey, 18-120cm, Gang, 
monitor lizard, , River banks-coastal forests, beige-Brown-Grey-Green, 12-310cm, , 
monkey, , Tropical forests  grassland-mountainous plains, beige-Brown-Grey-Black-White-Yellow, 14-100cm, Troop, 
monte iberia eleuth, , Water around Mount Iberia, Black-Yellow-Brown-White, 9.6mm-9.8mm, , 
moorhen, , swamp  wetlands-ponds, Black-White-Brown, 25cm-38cm, Flock, 
moose, , Forest areas close to the Arctic tundra, beige-Brown-Grey, 1.8-2.1m, Herd, 
Moray Eel, Tropical and temperate waters, saltwater, Grey-Black-Brown-White-Yellow-Green-Blue-Orange, .11-4, ,slither-tail
Moth, , Quiet forests-pastures, Red-Black-Yellow-Orange-Brown-White, 0.6-30cm, , 
mountain gorilla, , Tropical forest-jungles in mountainous regions, Black-Brown-Grey, 1.5-1.8m, Social, 
mountain lion, , Forest-mountainous regions, beige-Black-Brown, 1.5-2.75m, , 
mouse, , Open fields-woodland areas, Black-Brown-Grey, 5-15cm, , 
mule, , Arid forests-deserts, Grey-Brown-Black, 1.2-1.5m, Herd, 
neanderthal, , Worldwide based near rivers, Brown-beige-Black-White-Olive, 152-167cm, Group, 
Neapolitan Mastiff, Italy, , , 70cm, , 
Newfoundland, Canada, , , 71cm, , 
newt, , Temperate forests-river banks, Black-Brown-Grey-Green-Orange-Red-Yellow, 5-15cm, , 
nightingale, , Open forests-thickets, Brown-beige, 14cm-16.5cm, , 
Norfolk Terrier, Great Britain, , , 25cm, , 
Norwegian Forest, Norway, , Black-White-Fawn-Brown-Golden, , , 
numbat, , Eucalyptus woodland-grassland, Black-Brown-Grey-White-beige-Red, 35-45cm, Sociable, 
nurse shark, , Warm waters-tropical coastal regions, Black-Brown-Grey-White, 2.5-4.3m, , 
Ocelot, , Tropical jungle  grassland-swamp, beige-Yellow-Red-Grey-Black, 55cm-100cm, Nocturnal-twilight, 
octopus, , Tropical-temperate waters worldwide, beige-Brown-Red-Orange-Blue-Purple, 0.3-4m, , 
Okapi, , Dense mountain rainforest, Red-Brown-Black-White, 1.5m-2m, daytime, 
Old English Sheepdog, Great Britain, , , 58cm, , 
olm, , Underground watery caves, Pink-White-Peach, 2.5cm-30cm, , 
opossum, , Forest-farmland close to water, Black-Brown-White-Grey, 15-45cm, , 
Orang utan, , Lowland tropical forest, Red-Orange-Grey-Brown-Black, 1.25m-1.5m, daytime, 
ostrich, , Desert-savanna areas, Brown-Black-Grey-White-Pink, 1.8m-2.7m, Herd, leg
otter, , River banks  lakes-streams, Brown-beige-White, 76-91cm, , 
Oyster, , Reefs-rocky shores, Black. Brown-Yellow-beige-Silver-White, 3cm-15cm, , 
pademelon, , Dense rainforest-shrubland, Black-Brown-Grey-Red, 42-52cm, , 
Panther, , Forest  swampland-grassland, Dark Brown-Black, 1.1m-1.9m, Nocturnal, 
parrot, , Rainforests-tropical jungle, Red-Blue-Yellow-Green-White, 8cm-100cm, , 
Patas Monkey, , Savanna-open woodland, Red-Brown-White-Grey-Black, 45cm-85cm, daytime, 
peacock, , Desert-savanna areas, Brown-Blue-Green-Grey, 86cm-107cm, , tail
Pekingese, China, , , 23cm, , 
pelican, , Arid islands-coastal waters, Black-White-Grey, 106cm-183cm, Flock, 
penguin, , Cold seas-rocky land, Black-White-Grey-Yellow, 40cm-110cm, Group, 
Persian, Middle East, , Black-White-Fawn-Brown-Golden, , , 
pheasant, , grassland  fields-wetlands, Brown-Black-beige-Yellow-Orange-Red-Green, 53cm-84cm, , tail
pied tamarin, , Lowland tropical forest, Black-White-Brown-beige-Red, 18cm-30cm, Troop, tail
pig, , Forests-grassland, Grey-Pink-Black-Brown-White, 50-120cm, Herd, 
pika, , Mountainous areas, Black-Brown-Grey-White-beige, 18-22cm, , 
Pike, North America and Eurasia, Slow moving water, Grey-Blue-Black-White, 0.5m-1.8m, , 
pink fairy armadillo, , Dry grassland-Sandy Plains, Pale Rose, 90mm -115mm, , 
piranha, , Fast flowing rivers-Amazon basin, Grey-Yellow-Blue-Red, 20cm-50cm, , 
platypus, , Freshwater creeks  rivers-lakes, Brown-Grey-Black, 40-60cm, , 
Pointer, Great Britain, , , 60cm, , 
poison dart frog, , Tropical jungle-wet forests, Green-Red-Blue-Yellow-Orange, 1.5-6cm, , 
Polar Bear, , Coastal ice fields-floating ice, Clear-White-Yellow, 2m-2.5m, daytime, 
Pondskater, , Still water, Black. Brown-Yellow-beige, 1.6mm-3.6mm, , 
Poodle, France, , , 30cm, , 
pool frog, , Woodland ponds, Brown-Green-Black-Yellow, 5cm-9cm, , 
porcupine, , Dense forests-grassland, Brown-Grey-Black-Yellow, 50-90cm, , 
possum, , Bushland-rainforest, beige-Black-Brown-White-Grey, 5-120cm, , 
Prawn, Worldwide, Rocky  coastal waters, Pink-Grey-Black-White, 1cm-15cm, , 
Proboscis Monkey, , Coastal mangroves-riverine forests, Orange-beige-Red-Brown-White-Grey, 53cm-76cm, daytime, 
Puffer Fish, Equator, Shallow waters-coral reefs, Grey-Yellow-Blue-White-Brown, 17cm-60cm, , 
Puffin, , Sea-coastal regions, Black-White-Grey, 28cm-32cm, daytime, 
Pug, China, , , 28cm, , 
Puma, , mountain forest-jungle, Brown-Red-Yellow-Grey, 1.1m-2m, twilight, 
Purple Emperor, , Deciduous woodland, Purple-Blue-Brown-Black-White-Orange-Yellow, 6.2cm-7.4cm, , 
Puss Moth, , Dense woodland, Black-Brown-Green-Blue-White-Yellow-Grey, 5cm-8cm, , 
Pygmy Hippopotamus, , Hot  lowland rainforest, Light Grey-Dark Grey-Pink, 1.5m-1.7m, Nocturnal, 
pygmy marmoset, , Outskirts of tropical rainforest, Brown-beige-Grey-Black-White, 14-16cm, Troop, 
quail, , Woodland-forest areas, Brown-Black-White-Blue, 11cm-20cm, , 
Quetzal, , High-moist cloud forests, Green-Blue-Red-White-Bronze-Grey-Brown, 35cm-40.5cm, twilight, 
Quokka, , Dense vegetation close to water, Brown-Grey-Red, 40cm-54cm, Nocturnal, 
quoll, , Woodland-grassland, Black-Brown-White-Grey-beige, 35-75cm, , 
rabbit, , Forest thickets  meadows-woodland, Brown-beige-Grey-Black-White, 20-50cm, Group, 
raccoon, , Woodland areas close to water, Grey-Black-White-Brown, 41-71cm, , 
raccoon dog, , Thick forests close to water, beige-Black-Brown-Yellow, 50cm-65cm, Pack, 
Radiated Tortoise, , Dry tropical forest, Green-Black-Brown-beige-Yellow, 30cm-41cm, daytime, 
Ragdoll, North America, , Black-White-Fawn-Brown-Golden-Lilac, , , 
rat, , Underground close to human settlements, Grey-Black-White-Brown, 20-50cm, , 
red knee tarantula, , Semi-desert-scrub land, Red-Black-Brown-White, 10-18cm, , 
Red Panda, , High-altitude mountain forest, Red-Brown-White, 60cm-120cm, Nocturnal, 
red wolf, , Coastal prairie-marshland, Red-Grey-Black-Brown-White, 95cm-120cm, Pack, leg
red handed tamarin, , Lowland tropical forest, Black-Brown-beige-Yellow-Red, 18cm-30cm, Troop, tail
reindeer, , Forests close to the Arctic tundra, Brown-White-beige-Grey, 1.6-2.1m, Herd, 
rhino, , Tropical bushland  grassland-savannas, Brown-Grey-Black, 1.3-2.2m, , 
river dolphin, , Large tropical rivers-estuaries, Grey-Pink, 2-2.5m, School, 
river turtle, , Slow-moving rivers  streams-ponds, Green-Brown-Black-Yellow, 20-60cm, , 
robin, , Woodland  farmland-grassland, Brown-White-Orange, 12.5cm-14cm, , 
Rock Hyrax, , Dry savanna-rainforest, Brown-beige-Grey-Yellow-White, 45cm-55cm, daytime, 
rockhopper penguin, , Rocky Antarctic Islands, Black-White-Grey, 45cm-58cm, Colony, 
Roseate Spoonbill, , Shallow wetlands-mangrove swamp, Pink-White-Red-Black, 60cm-80cm, daytime, 
Rottweiler, Germany, , , 68cm, , 
royal penguin, , Rocky Antarctic Islands, Black-White-Grey-Yellow, 60cm-68cm, Colony, 
Russian Blue, Russia, , Lilac-Blue, , , 
sabre toothed tiger, , Forests-grassland, beige-Brown-Yellow-Black-White, 2m-2.5m, Pack, 
Saint Bernard, Switzerland, , , 102cm, , 
salamander, , Rainforest  streams-wetlands, Brown-Green-Black-Yellow-Red-White, 2-180cm, , 
sand lizard, , Grass-heathland, Green-Black-Brown-beige, 13cm-20cm, , 
Saola, , Moist-dense evergreen forest, Brown-Black-Red, 150cm-200cm, daytime, 
scorpion, , Dry desert  grassland  savanna-tropical jungles, Brown-Black-Yellow-Red-White, 2-30cm, , 
scorpion fish, Indian and Pacific Oceans, Tropical reefs-rocky crevices, Brown-Black-Yellow-White-Red-Orange, 14cm-45cm, , 
Sea Dragon, Australian coastal waters, Tropical coastal waters, Brown-Black-Yellow-White-beige-Grey-Green-Red-Orange, 20cm-24cm, , 
sea lion, , Coastal waters-rocky shorelines, Brown-beige-Grey, 2.7-3.3m, Herd, 
sea otter, , Unpolluted areas close to the shore, Black-Brown-beige, 122-150cm, , 
Sea Slug, Worldwide, Shallow-deep oceans, beige-Black-White-Yellow-Orange-Purple, 0.6-30cm, , 
Sea Squirt, , Coastal Waters, Green-Red-Blue-Yellow-Orange-Brown-Pink-White, 3-30cm, , 
sea turtle, , Tropical coastal waters-beaches, Brown-beige-Green, 79-150cm, , 
Sea Urchin, Worldwide, Rocky ocean floor-coral reefs, , 3-10cm, , 
Seahorse, Worldwide, Shallow tropical waters-coral reefs, , 2.5cm-30cm, , 
seal, , Coastal waters-rocky shores, Brown-beige-White-Black, 1.8-5m, Herd, 
Serval, , Wetlands-grassland close to water, Yellow-Orange-Brown-Black-White, 60cm-100cm, twilight, 
sheep, , Grass plains-mountainous regions, Brown-White-Yellow-Black, 90-140cm, Herd, 
Shih Tzu, China, , , 28cm, , 
Shrimp, Worldwide, All water regions around the world, , 0.3-5cm, , 
Siamese, Thailand, , Cream-Brown-Lilac, , , 
Siamese Fighting Fish, Southeast Asia, Mekong river in south-east Asia, , 6cm-8cm, , tail-fins
Siberian, Russia, , Cream-Brown-Lilac-Fawn-Golden-Black-White, , , 
Siberian Husky, North America, , , 58cm, , 
siberian tiger, , Dense tropical forest, Orange-Black-White, 2.4m-3.7m, , 
Silver Dollar, South America, Tropical well-vegetated rivers, Silver-Grey, 5cm-14cm, , fins
skunk, , Open woodland-dense shrub, Black-White-Grey, 40-80cm, , 
sloth, , Tall trees in tropical rainforest, Brown-beige-White-Grey, 50-70cm, , 
slow worm, , Grassland-woodlands, Black-Brown-beige-Yellow-Grey, 20cm-50cm, , 
Snail, , Well-vegetated areas, Black. Brown-Yellow-beige, 0.5cm-80cm, , 
snake, , wetlands-deciduous forest-tropical islands-tropical rainforest-savanna-river-grassland, green-black-brown-red-blue-yellow, 5.4, ,slither-tail
snapping turtle, , Slow rivers  lakes-marshland, Brown-beige-Black, 47-80cm, , 
Snowshoe, North America, , Cream-Brown-Lilac-Fawn-Golden-Black-White, , , 
snowy owl, , Woodland within the Arctic tundra, Black-White-Grey, 60cm-75cm, , 
Somali, North America, , Cream-Brown-Lilac-Fawn-Golden-Black-White-Ginger, , , 
south china tiger, , Dense tropical forest, Orange-Black-White, 2.3m-2.8m, , 
spadefoot toad, , Marshland prairies-open floodplains, Brown-beige-Grey, 7.5-10cm, , 
sparrow, , Countryside-woodland, White-Black-Grey-Brown-beige-Blue-Yellow, 11.4cm-18cm, Flock, 
spectacled bear, , Coastal forests-deserts, Black White-Grey, 1.5m-2m, , 
Sperm Whale, Worldwide, Deep off-shore waters, Grey-Blue-Black-White, 6m-20.5m, , 
spider monkey, , Tropical jungle-rainforest, Black-Grey-Brown-White, 40-50cm, Troop, 
Dogfish, Atlantic  Pacific and Indian Oceans, Bays-inshore waters, Grey-Black-Brown-White, 48-160cm, , 
Sponge, , Saltwater seafloors, Green-Red-Blue-Yellow-Orange-Brown, 1cm-3m, , 
squid, , Cooler-temperate waters, Black-Grey-Brown-White, 22-1400cm, , 
squirrel, , Woodland-dense forests, Black-Grey-Brown-beige-Red, 15-30cm, , 
Squirrel Monkey, , Dense  tropical jungle close to a stream, Olive-Grey-Yellow-Black, 25cm-36cm, daytime, 
sri lankan elephant, , Rainforest-tropical woodland, Grey-Brown-Black, 2m-3m, Herd, 
Staffordshire Bull Terrier, Great Britain, , , 41cm, , 
Stag Beetle, , Deciduous woodland, Black-Brown-Green-Blue-White-Yellow, 5cm-12cm, , 
starfish, , Shallow to deeper coastal waters, , 5-20cm, , 
stellers sea cow, , Arctic Tundra, Grey-Brown-Black, 8m-9m, Herd, 
Stick Insect, , Forest  jungles-woodland, Green-Brown-beige-Grey, 3-30cm, , 
stingray, , Warm  tropical waters, , 50cm-200cm, , tail
stoat, , Moorland-woodlands, beige-Black-Brown-White, 25-35cm, , 
striped rocket frog, , Woodland swamp-ponds, Brown-Green-Black-beige, 5cm-5.5cm, , leg
sumatran elephant, , Rainforest-tropical woodland, Grey-Brown-Black, 2m-3m, Herd, 
Sumatran Orang utan, , Dense  tropical forest, Red-Orange-Grey-Brown, 1.25m-1.5m, daytime, 
sumatran rhinoceros, , Tropical bushland  grassland-savannas, Brown-Grey-Black, , , 
sumatran tiger, , Dense tropical forest, Orange-Black-White, 2m-2.4m, , 
Sun Bear, , Primarily  lowland tropical forests, Black-Brown-Red-Grey-White-Yellow-Orange, 1.2m-1.5m, daytime-Nocturnal, 
swan, , Large  shallow wetlands-open water, Black-White-Grey-Orange, 91cm-150cm, Flock, 
Tang, Indian  Pacific Oceans, Shallow tropical coral reefs, Black-Yellow-Red-Blue-Silver, 15cm-40cm, , tail
tapir, , Lowland  moist forests, White-Black-Brown-Grey, 100-150cm, , 
Tarsier, , Forests  mangroves-scrub, Grey-Brown-Ochre-Golden, 9cm -16cm, Nocturnal, 
tasmanian devil, , Forest underbrush, Black-Grey-Brown-White, 57-65cm, , 
tawny owl, , Dense forest-open woodland, Black-White-Grey-beige-Brown, 38cm-43cm, , 
Termite, , Forests-areas with high humidity, Red-Black-Brown-White, 0.4-1.2cm, , 
Tetra, South America, Clearwater streams of South America, Black-Silver-Red-Blue-White, 0.6-3.1cm, , 
thorny devil, , Dry desert-shrub land, Red-Grey-Brown, 15-20cm, , 
Tibetan Mastiff, China, , , 71cm, , 
Tiffany, North America, , Cream-Brown-Lilac-Fawn-White, , , 
tiger, , Dense tropical forest, Orange-Black-White, 2.8-3.3m, , 
tiger salamander, , Wetlands  rivers-streams, Black-Green-Grey-Brown-Yellow, 15-35cm, , 
tiger shark, , Tropical coastal waters, Grey-Brown-Black-White, 3.25-4.25m, , 
tortoise, , Sandy soil close to water, Grey-Brown-Black-Yellow-Green, 6-120cm, , 
toucan, , Lowland rainforest-tropical forest borders, White-Yellow-Orange-Black, 29cm-63cm, , 
tree frog, , Forests  woodlands-swamp, Black-Green-Grey-Brown-Yellow, 3-14cm, , 
tropicbird, , Tropical islands-cliffs, Black-White-Brown Yellow, 75cm-100cm, Flock, 
tuatara, , woodland-grassland, Green-Brown-Grey, 70-80cm, , 
turkey, , Forest  shrubland-grassy plains, Black-White-Brown-Yellow-Green-Blue-Red, 70-125cm, Flock, 
Turkish Angora, Turkey, , Cream-Brown-Lilac-Fawn-White, , , 
Uakari, , Part-flooded rainforest, Red-Brown-White-Black, 38cm-57cm, daytime, 
Uguisu, , lowlands-mountain forests, Olive-Brown-Green, 14cm-16.5cm, daytime, 
Umbrellabird, , Low-high altitude rainforest, Black, 38cm-50cm, daytime, 
Vampire Bat, , Tropical-subtropical regions, Brown-Grey-Black, 7cm-9.5cm, Nocturnal, 
Vervet Monkey, , Riverine acacia forests, Olive-Grey-Brown-Black-Silver, 46cm-66cm, daytime, 
vulture, , Deserts  savannah-grassland near water, Black-White-Grey-beige-Brown, 64cm-81cm, , 
wallaby, , Forest-shrubland, Grey-Brown-White-beige-Red, 30-180cm, Herd, 
Walrus, , Ice floes-rocky  remote coastlines, Grey-Brown, 2.25m-3.5m, daytime, 
warthog, , Arid savannas-grass plains, Brown-beige-Grey, 0.9-1.5m, Group, 
Wasp, , Meadows  forests-rock faces, Yellow-Black, 5-15mm, , 
water buffalo, , Marsh-swampland, Brown-beige-Grey, 2-3m, Herd, 
water dragon, , Creeks  rivers-lakes, Black-Brown-beige-Yellow-Green, 60-100cm, , 
Water Vole, , Banks of slow-moving water, Brown-Black-Grey, 14cm-22cm, daytime, tail
Weasel, , Forest-open woodland, Dark and Light Brown-beige-White-Black, 22cm-38cm, daytime-Nocturnal, 
Welsh Corgi, Great Britain, , , 30cm, , 
West Highland Terrier, Great Britain, , , 30cm, , 
western gorilla, , Rainforest-dense jungle, Black-Grey, , Troop, 
western lowland gorilla, , Rainforest-dense jungle, Black-Grey, , Troop, 
whale shark, , Warm coastal waters-open ocean, Brown-Blue-Grey, 10-12.2m, , 
Whippet, Great Britain, , , 55cm, , 
white faced capuchin, , High tropical forests-wet lowland regions, Black-White-Grey, 35-45cm, Troop, 
white rhino, , Tropical bushland  grassland-savannas, Brown-Grey-Black, 3.4-4.2m, , 
White Tiger, , Dense jungle-mangrove swamp, White-Black-Brown-Orange, 2.4m-3.3m, daytime, 
Wild Boar, , Deciduous broad-leaf forests, Brown-Red-Black-Grey, 55cm-100cm, Nocturnal, 
wildebeest, , Grass plains-bush covered savanna, Black-Brown-beige, 1.2-1.4m, Herd, 
wolf, , Grass plains-woodland, Black-Brown-Grey-White, 60-91cm, Pack, 
wolverine, , Mountainous regions-dense forest, Sandy-White-Black-Brown, 65-87cm, , 
wombat, , Woodland-coastal shrub land, Brown-beige-Grey, 1-1.2m, , 
Woodlouse, , Moist environments, Grey-Black-Brown, 3-30mm, , 
woodpecker, , Dense forest-woodland, Black-White-Grey-beige-Brown-Red-Green, 8-58cm, , 
woolly mammoth, , Arctic Tundra, Brown-Black-beige, 1.8m-4m, Herd, 
woolly monkey, , Humid-mature tropical forests, Black-Brown-Grey, 50-60cm, Troop, 
Wrasse, Atlantic  Indian and Pacific Oceans, Coral reefs-rocky shores, Grey-Black-Brown-White-Yellow-Green-Blue-Orange, 11cm-250cm, , 
X Ray Tetra, , Amazon coastal waters, Silver-Yellow-Black-White, 3.2cm-5cm, daytime, fins
yak, , Alpine meadows-open hills, Brown-Black-White, 2-2.2m, Herd, 
yellow eyed penguin, , Rocky Antarctic Islands, Black-White-Grey-Brown-Yellow, 60cm-75cm, Colony, 
Yorkshire Terrier, Great Britain, , , 22cm, , 
Zebra, , Open grassland-plains, Black-White-Brown, 2m-2.75m, daytime, 
zebra shark, Indian and Pacific Oceans, Tropical  coastal waters, Brown-Black-Yellow-White-Grey, 0.6m-2.5m, , 
zebu, , Tropical jungles-open plains, Brown-Black-White, 86-106cm, Herd, 
Zonkey, , Savanna-open woodland, Brown-beige-Grey, 1m-1.5m, daytime, 
Zorse, , Open grassland-woodland, beige-Brown-Black-Red-White-Grey, 130cm-163cm, daytime,
